sample,con_1,con_2,con_3,con_4,con_5,con_6,con_7,con_8,le1_1,le1_2,le1_3,le1_4,le1_5,le1_6,le1_7,le1_8,le2_1,le2_2,le2_3,le2_4,le2_5,le2_6,le2_7,le2_8,le3_1,le3_2,le3_3,le3_4,le3_5,le3_6,le3_7,le3_8,mp1_10,mp1_11,mp1_2,mp1_3,mp1_4,mp1_5,mp1_7,mp1_8,mp2_1,mp2_10,mp2_11,mp2_3,mp2_4,mp2_5,mp2_8,mp2_9,mp3_11,mp3_12,mp3_13,mp3_16,mp3_17,mp3_3,mp3_6,mp3_9,px1_1,px1_2,px1_3,px1_4,px1_5,px1_6,px1_7,px1_8,px2_1,px2_10,px2_12,px2_2,px2_3,px2_7,px2_8,px2_9,px3_1,px3_2,px3_3,px3_4,px3_5,px3_6,px3_7,px3_8,sl1_1,sl1_3,sl1_4,sl1_5,sl1_6,sl1_7,sl1_8,sl2_2,sl2_3,sl2_4,sl2_5,sl2_6,sl2_7,sl2_8,sl2_9,sl3_1,sl3_2,sl3_3,sl3_4,sl3_5,sl3_6,sl3_7,sl3_9,,,,,,,,,,,,,
group,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,le1,le1,le1,le1,le1,le1,le1,le1,le2,le2,le2,le2,le2,le2,le2,le2,le3,le3,le3,le3,le3,le3,le3,le3,mp1,mp1,mp1,mp1,mp1,mp1,mp1,mp1,mp2,mp2,mp2,mp2,mp2,mp2,mp2,mp2,mp3,mp3,mp3,mp3,mp3,mp3,mp3,mp3,px1,px1,px1,px1,px1,px1,px1,px1,px2,px2,px2,px2,px2,px2,px2,px2,px3,px3,px3,px3,px3,px3,px3,px3,sl1,sl1,sl1,sl1,sl1,sl1,sl1,sl2,sl2,sl2,sl2,sl2,sl2,sl2,sl2,sl3,sl3,sl3,sl3,sl3,sl3,sl3,sl3,,,,,,,,,,,,,
sl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,1.27,2.18,4.62,3.07,2.74,1.65,2.665,2.655,2.63,3,4.885,3.495,3.99,3.045,1.533333333,1.173333333,2.81,0.3,1.013333333,1.66,1.906666667,2.613333333,,,,,,,,,,,,,
px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.67,0.66,0.78,1.15,1.02,1.08,0.97,1.205,0.31,1.225,1.06,0.67,1.235,1.185,0.985,0.74,0.763333333,0.976666667,0.823333333,0.89,1.28,0.9,0.853333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20.5,26.5,18,12,20,20.5,13,16.75,21.5,22.25,11.5,12.25,20.5,15.25,20,17.5,18.33333333,17.66666667,14.83333333,18.66666667,12.5,14.33333333,16.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
le,,,,,,,,,26,10.5,22,30.5,27.5,12.5,22,9.5,13.75,29.75,9.5,13.75,22.75,9.5,20.5,16.5,8,7.5,7,13,13.16666667,13.66666667,8,11.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,14377.65662,11231.47312,14249.94354,14712.17112,12091.57297,10673.56039,10303.38449,11573.98548,10640.26118,12381.38518,11211.3328,10741.45524,11374.5508,13163.31323,9995.915894,8921.719369,18945.13293,15016.39288,14631.06629,15747.72222,11075.94903,16439.20918,10246.80556,16364.73417,17253.2553,25105.20005,20201.85565,17150.58661,16414.92866,14365.9842,15047.83322,13418.29658,14828.13427,8498.268094,13765.13228,20329.25132,14285.24566,13759.85202,20372.41885,14654.54759,19193.22949,9660.880266,8948.272712,20299.14033,12830.00834,6602.609168,11681.59981,12272.19753,10755.86968,19294.92429,18664.66184,12140.16154,11934.24208,20914.53252,3166.278037,18006.38261,14302.85509,17090.98225,11279.25043,11802.03741,15618.55798,15394.16614,13472.50157,14910.86117,16847.43659,13120.08053,14580.79839,16999.16342,18426.27315,14952.97899,18970.99792,14210.27337,14921.76938,15965.15653,19673.41725,1604.528166,20253.91975,16110.75581,15209.40622,15968.91109,14989.6703,12328.46289,13048.65883,17066.6315,15874.53801,16075.6752,14173.40027,14517.41231,16572.74271,21295.96325,22635.64163,13073.77908,18647.33984,18402.99635,16532.16667,18279.3977,15895.32164,30746.1236,12994.21122,18405.19335,24171.4231,15428.92305,19339.49722,,,,,,,,,,,,,
4560,1.147458629,1.159796894,1.096149503,1188.371929,1.070050705,1.172403382,1.203807044,1.109682213,1.130619613,1.029209075,1.037126068,1.145022411,1.169860207,160.135904,1.072178043,1186.019974,1.157308059,379.0642539,450.0621222,1.19845679,185.8068085,1.130619613,1.114267677,1.159796894,1.130619613,1.169860207,1.105134335,1.116574649,0.982341631,339.8554837,150.917685,232.5682092,1.107403605,0.989551478,1.027248677,1.027248677,1.154829883,227.3147715,1.211922597,1.137775434,405.8400312,185.5253493,211.854252,123.899938,1.011830311,1.109682213,1.006167081,1.19845679,1.008047767,1.035135423,1.172403382,1.157308059,1.053331163,1.195799458,1.008047767,365.3324492,1.072178043,278.1037514,1.049232598,4359.836896,1.121217371,396.9859798,567.487312,467.8392979,1862.948973,4776.706349,4682.41412,384.2420674,517.6623721,5110.923877,872.9798452,2118.700397,3224.045234,828.7542714,12325.37905,164.3229301,1147.16284,6040.678295,6357.868247,3098.11593,3442.483126,9255.14582,1957.298825,3581.717065,2933.461181,3107.043947,1366.172517,3544.736137,2147.648751,6316.721418,13857.00592,16588.02647,6478.468719,5003.079626,5924.516667,14131.70526,7726.261696,47367.5779,4408.059748,22422.15968,29163.72081,6490.15093,19080.63056,,,,,,,,,,,,,
7320,80413.90071,63278.51852,66218.39149,68642.72668,64663.16413,70027.65399,72108.04191,69776.81756,69951.43548,65282.73166,71177.96207,68655.54376,76216.3925,67519.63633,67622.26916,67452.76613,78639.08262,62324.67488,62500.75829,64261.25309,54344.60972,60770.80422,57440.49874,72614.88351,67837.1768,63464.91624,59323.61111,59133.79342,54686.95861,61694.69588,58433.9217,59756.45939,51339.23112,46360.48675,62097.18254,46719.26984,49507.5571,45069.81568,52803.46754,46159.54934,53456.7731,48378.56909,53576.91257,43695.77912,46695.96883,53886.16827,43949.37811,57645.7716,55261.17861,58319.52975,62911.16546,62957.55842,50180.69661,70109.72222,17247.6973,61549.49236,55431.60482,46135.64433,48506.02302,43544.33033,43492.02183,41421.52121,39738.30409,49485.97194,49299.5622,48786.75887,44271.35158,52038.25536,48785.8644,47669.40253,48929.92608,46151.28693,49893.13145,47071.53053,34212.19618,4685.975347,50347.16975,46872.83592,45677.69623,47633.40102,55029.32762,51011.47366,54642.4779,54544.95429,50026.79568,54057.04513,45825.62197,57529.3242,45250.60815,55083.63648,48277.07076,45363.96911,49927.06206,46893.7998,47684.41667,49054.64231,51387.30409,41960.255,47163.79717,42840.89535,46430.65876,47189.23611,47458.88889,,,,,,,,,,,,,
7322,25278.51359,20690.77658,22218.95043,22395.42835,21261.90752,22381.18056,22270.43031,22493.25846,21233.03634,20635.64196,21769.27618,21583.67245,11991.06712,20685.20651,21336.34305,20554.66457,21699.52611,19977.56103,20813.34949,20265.90432,17245.35615,9809.255765,17282.29167,22279.69833,19152.69625,20601.23825,17925.27892,18200.16678,16847.15898,18096.95582,19012.99219,18776.25633,13831.47102,12161.58767,15347.09524,13292.59788,12541.45253,11582.46885,13512.93695,11616.68718,13155.02336,12438.99258,12985.32844,12059.193,11706.87669,13748.96262,11701.72316,15939.47531,13588.4839,14895.59874,16788.81643,14859.83548,12819.04026,16011.75474,2786.244029,14938.87463,13327.17307,12064.87686,10870.04972,9922.573759,9750.10626,5081.094308,9407.435255,10894.1928,26109.42331,10564.04412,10329.59873,12415.59183,11499.27175,11209.30863,10182.89617,10850.31415,10402.99787,10483.28676,7826.671875,1000.162863,11409.30864,9726.883075,9297.825688,9432.065194,15009.83126,14585.05811,15613.52974,16770.80989,14294.98199,15155.75101,13129.58307,10816.69555,13222.02772,15290.33346,14236.79857,13034.84005,13400.04254,13042.17021,13110.02778,13593.4551,14407.97368,12124.38786,13848.95964,12172.31864,11919.6833,13015.09577,8662.325833,,,,,,,,,,,,,
4553,1.147458629,1.159796894,1.096149503,1.055392477,1.070050705,1.172403382,1.203807044,1.109682213,1.130619613,1.029209075,1.037126068,1.145022411,1.169860207,1.182687622,1.072178043,214.5916026,1.157308059,1.107403605,1.011830311,1.19845679,1.035135423,1.130619613,1.114267677,1.159796894,1.130619613,1.169860207,1.105134335,1.116574649,0.982341631,1.162296456,1.098381987,1.169860207,1.107403605,0.989551478,1.027248677,1.027248677,1.154829883,1.008047767,1.211922597,1.137775434,1.008047767,1.059539402,1.105134335,1.002426683,1.011830311,1.109682213,1.006167081,1.19845679,1.008047767,1.035135423,1.172403382,1.157308059,1.053331163,1.195799458,1.008047767,1.107403605,1.072178043,1.111970218,1.049232598,204.8064184,1.121217371,1.019481201,1.013732247,1.102874347,193.3293176,1041.675479,1278.694622,1.051277886,1.182687622,1093.802817,1.121217371,609.2868717,668.8764167,191.7530864,3697.613715,33.36665481,1.19845679,1102.668928,1359.643731,385.2933452,781.5394341,2633.384517,440.026522,630.896478,729.3035797,343.936656,265.661712,522.8919082,484.2049091,1689.984224,3129.491393,4102.226735,2052.276276,1321.406042,1359.05,3657.990324,1089.397222,12506.75265,487.5118711,7111.143423,8422.784855,1616.829357,4589.490278,,,,,,,,,,,,,
853,11704.07801,10711.88411,7912.007114,7648.429278,11417.44103,10570.38889,12009.17907,11773.72828,7078.809399,10559.68511,8253.449252,9708.645022,7917.613883,11202.41715,8334.039927,3234.702714,5220.616655,7039.764716,3632.470815,5653.120679,5749.142141,6632.214652,6614.292929,5277.075866,768.3690892,6023.610207,2128.48873,2234.265873,4774.180328,1522.608357,4460.529249,4211.496746,7853.706366,9266.160041,11217.55556,8393.648942,10923.53587,10433.29439,15403.5362,9646.060127,9772.015057,9679.951976,6366.678905,8074.546933,7561.407911,10660.71702,9007.207711,8450.318827,9562.341121,8689.961879,8090.755737,9348.734502,9250.354275,11325.41667,4097.714174,7817.162047,9981.977579,8622.217068,10922.51135,12634.23235,7553.64143,8840.940979,8730.262114,9385.460691,10546.94082,10769.11619,10635.47353,10328.80523,7676.825353,8992.404706,8858.73845,8527.234072,8568.966049,8858.949791,5175.086227,893.4732458,9823.750309,9360.885013,10617.88736,7675.379846,9965.560228,12959.8955,7402.041893,10389.02748,11417.93352,10458.38812,9282.809667,8369.940664,9635.167105,9926.104925,9765.011458,9027.040463,9833.823824,8038.016268,9393.722222,10092.71825,10765.67427,14367.21414,10796.28669,9035.644674,10590.31228,9160.583277,10262.98472,,,,,,,,,,,,,
857,8453.327719,7400.663978,6180.090899,5864.815993,7992.208719,7848.068237,8002.909226,8177.248228,5149.972339,7362.961726,5492.619658,6558.68837,5580.233189,7754.882736,5922.711509,2375.431808,4435.961791,4903.583162,2498.209037,4860.940741,3361.08472,5036.910377,5390.82702,4494.212963,2430.832169,4196.288564,1226.699112,2144.939901,3788.891672,1939.872785,4193.622426,3731.854061,6030.920032,6324.223496,10447.11905,6277.516667,7265.034797,7952.488837,10838.22378,7830.170534,5931.353063,6992.960052,5499.148452,6734.302458,5673.332552,8989.535608,6253.32841,6801.242284,6532.149533,6509.966677,6404.839674,6684.61135,7076.278754,8631.280488,2496.93432,6870.331964,6679.669207,7264.501432,8307.823714,8847.204965,5710.360072,6413.556238,6286.153665,7090.379175,7477.588768,8190.419876,8559.894575,7455.662768,6550.906737,7435.254863,7194.851871,6495.207782,6820.397946,6939.278825,4911.051215,621.4147218,7441.21821,6037.257752,7371.16896,6019.617176,7383.949896,8593.694284,5820.208961,8818.897386,9199.785565,8124.08049,7751.877767,7027.283921,7843.864234,7169.520849,6136.364017,7019.733504,6935.177928,6026.90073,6818.783333,7728.639106,8493.778655,11446.68908,8462.009434,6373.519127,8348.358398,6515.15905,8297.755278,,,,,,,,,,,,,
3919,1810.689716,1552.968041,1748.358458,1549.316156,1896.12985,978.4878623,720.5988963,544.521062,768.2560273,1468.681351,990.9739583,778.386235,183.6680525,507.1364522,623.5787497,183.1603774,438.3882928,769.2025439,318.3218157,1.19845679,426.8898486,882.6747321,490.3892045,464.7306153,553.2121768,129.3865389,193.8405624,224.8781343,461.7988009,235.7137213,151.2471996,269.1848337,175.0805099,1249.803517,2519.841005,2402.734656,643.702177,1250.987279,1238.584894,1066.550692,912.6864486,1.059539402,197.1559654,2447.92596,371.7464561,1.109682213,598.1663298,1.19845679,606.9455607,1.035135423,1.172403382,1.157308059,1.053331163,165.9769648,1.008047767,178.0704997,516.039292,1068.047394,1024.470709,1227.757738,1241.18763,688.8634478,1101.926953,1027.878891,712.5867754,1057.310808,471.1161751,1216.328514,1125.445541,957.9455623,943.6165396,1120.343089,1339.913985,902.1597498,923.2236979,126.7723688,850.904321,659.0245478,990.5410296,1320.405025,2105.811786,1858.068085,1671.554651,2984.384962,2163.991748,2260.713693,2369.055714,2283.637891,2980.540763,2541.582529,3745.840599,2669.270457,2646.96997,3199.306662,4125.197222,3692.818276,3538.979825,4317.297913,2513.3674,4409.556494,4258.338346,3061.863799,4586.254444,,,,,,,,,,,,,
1330,1.147458629,1.159796894,1.096149503,1.055392477,1.070050705,1.172403382,1.203807044,1.109682213,1.130619613,1.029209075,1.037126068,1.145022411,1.169860207,1.182687622,1.072178043,1.130619613,1.157308059,1.107403605,1.011830311,1.19845679,1.035135423,1.130619613,1.114267677,574.7953405,1.130619613,1.169860207,1.105134335,1.116574649,0.982341631,1.162296456,1.098381987,1.169860207,1.107403605,0.989551478,1.027248677,1.027248677,1.154829883,1.008047767,1305.240637,1.137775434,1.008047767,1.059539402,1.105134335,1.002426683,1.011830311,1.109682213,1.006167081,1.19845679,4645.084112,1.035135423,2381.151268,693.458989,1.053331163,1.195799458,190.3194185,1.107403605,1.072178043,1.111970218,1.049232598,1.080772656,1.121217371,1.019481201,1.013732247,1.102874347,1.172403382,1.132994865,1.149905236,1.051277886,1.182687622,1.085121842,1.121217371,1.070050705,0.982341631,1.070050705,1.123553241,0.104597664,1.19845679,1.140180879,0.989551478,1.051277886,1.008047767,1.035135423,0.975236086,1.137775434,1.1282543,1.149905236,1.0233502,1.019481201,1.063719044,1.201125959,1.085121842,0.973475732,0.971721722,1.074313856,0.980555556,1.055392477,1.135380117,1.426734274,1.017557652,1.011830311,1.145022411,1.087309588,1.078611111,,,,,,,,,,,,,
6418,3765.95922,3152.327957,2643.912602,3119.740161,2271.717648,2921.629227,3583.733569,2977.277378,4459.163755,3179.226834,3690.094551,4162.156464,4150.664015,3951.359345,3912.377678,3750.265257,4136.219003,4463.943931,3938.043569,4478.633025,3562.936127,4517.955975,4516.126894,4644.986559,6046.553692,5212.897084,4629.40773,4892.830113,4561.012194,4901.404155,4707.665196,4907.56357,4214.77812,5228.79001,6306.27963,5027.355026,5488.906436,5541.238577,6626.792759,5018.727438,5492.852285,5377.162465,5147.715733,4313.442018,4144.456952,6199.794524,5535.931281,5027.526235,5920.264538,4666.390488,6423.598128,6004.114211,5239.269206,5851.046748,1579.610852,5798.365275,4617.870831,4341.13173,4549.472546,4512.225841,4588.021483,3573.281611,3995.118787,3748.669905,4731.820048,5072.418009,4873.298389,4290.265053,3752.667824,5255.245082,3623.774544,4546.645448,4338.020644,4249.171351,3895.359086,397.1573302,4905.283642,3800.222868,4709.275484,4235.598603,4253.961578,3941.795692,4729.895017,4238.21349,4005.302766,4615.719616,3674.850569,4859.866887,3688.977646,3470.052895,3927.055947,3458.759276,4003.493493,3688.119467,3831.030556,4059.039465,4466.58538,3522.606922,4167.916143,4333.66922,3520.943914,3653.360215,3479.599444,,,,,,,,,,,,,
4559,1.147458629,1.159796894,1.096149503,448.4362633,1.070050705,1.172403382,1.203807044,1.109682213,1.130619613,1.029209075,1.037126068,1.145022411,1.169860207,1.182687622,1.072178043,634.7298509,1.157308059,1.107403605,1.011830311,1.19845679,1.035135423,1.130619613,1.114267677,1.159796894,1.130619613,1.169860207,1.105134335,1.116574649,0.982341631,1.162296456,1.098381987,1.169860207,1.107403605,0.989551478,1.027248677,1.027248677,1.154829883,252.9191848,1.211922597,1.137775434,162.7997144,1.059539402,1.105134335,1.002426683,1.011830311,1.109682213,1.006167081,1.19845679,1.008047767,1.035135423,1.172403382,1.157308059,1.053331163,1.195799458,1.008047767,1.107403605,1.072178043,190.5916953,1.049232598,3805.400523,1.121217371,1.019481201,388.9690633,1.102874347,1202.88587,3051.15517,3080.596127,209.3094271,1.182687622,3060.043595,495.8023216,1358.964396,1982.365412,303.4663801,10356.91377,84.83916527,728.3021914,3924.502584,4492.56371,1892.300195,2357.823728,6525.493709,1143.951929,1790.858533,2277.945432,1998.5353,829.3230023,2350.92365,1566.858153,4046.593356,10224.018,12168.44665,4678.84009,3708.53143,3746.702778,9384.549902,5171.656433,43472.59333,3350.817348,18820.04378,24686.68318,4789.598734,14906.40556,,,,,,,,,,,,,
