"module","size","avg_sim"
16,91,0.877758993143609
23,145,0.858171234895373
8,31,0.826881720430108
20,14,0.818258664412511
14,15,0.771428571428572
11,14,0.737531699070161
3,86,0.704588024834263
12,34,0.698615110379816
1,81,0.692616334283001
7,24,0.678651059085842
22,54,0.649787668655593
21,18,0.628456510809452
4,36,0.621550671550672
9,47,0.615882729666264
24,43,0.603330777749382
15,109,0.575472437857759
10,34,0.562937062937063
6,31,0.554673283705542
5,28,0.542633292633293
18,31,0.516873449131514
17,26,0.463076923076923
2,78,0.457375957375957
13,46,0.453140096618358
19,41,0.448217636022514
