"feature","id.x","module"
"101.02418_0.6561","2991",1
"104.03512_0.6052","1308",23
"105.0191_0.6887","2314",1
"111.00858_0.6877","2946",2
"113.02422_0.6567","1995",1
"113.03545_0.6076","1362",23
"114.05578_0.6383","1746",23
"115.00347_1.1313","3164",2
"117.00762_1.1305","3132",2
"118.05074_0.6075","1359",23
"119.03468_0.6537","1935",1
"127.05104_0.6067","1340",23
"128.03506_0.6179","1471",23
"128.03509_0.8768","2796",23
"129.01911_0.9096","3283",2
"129.03843_0.8772","2429",2
"131.04589_0.6075","1360",3
"132.04123_0.8279","2367",4
"133.01395_1.4586","4188",2
"133.01395_7.7154","5204",2
"133.01396_0.8676","2280",2
"133.01396_6.5647","4762",2
"133.01398_1.9708","4393",2
"133.01399_9.4714","5754",2
"133.05024_0.8842","1380",1
"134.0173_0.8671","2700",3
"134.04699_0.5862","1228",4
"135.01819_0.8673","2705",2
"135.02963_0.688","2232",2
"135.02965_1.1226","4198",1
"137.02414_8.9013","5691",5
"142.99826_0.6939","2363",19
"143.03464_0.6561","2975",1
"143.04584_0.6416","1662",23
"145.00487_0.6145","1460",2
"145.06155_0.6069","1345",23
"145.06155_0.7713","2986",23
"146.06465_0.6066","1337",23
"149.04514_0.6867","2211",1
"150.0418_0.577","1226",4
"152.98593_1.2709","3793",2
"157.03629_0.6669","2092",4
"161.04517_0.6556","1974",1
"163.02452_0.8027","2348",1
"163.04316_0.9616","2930",1
"164.07142_0.9163","2893",23
"165.00505_0.6917","2640",2
"166.99583_0.7158","2464",24
"167.02064_0.6797","2174",4
"167.03464_6.9516","4950",5
"168.04269_0.6433","1713",23
"170.93868_1.1309","2734",2
"171.04079_0.8842","2831",23
"171.94626_0.6887","2843",23
"171.98812_1.2039","3495",2
"172.02235_0.5982","1325",23
"172.025_0.733","2939",23
"172.06112_1.2018","3456",23
"172.09759_4.4748","4559",2
"172.13374_1.2024","3453",2
"173.00872_0.6898","2256",1
"173.01973_0.8326","2394",23
"173.04509_0.6877","2273",5
"173.05629_0.7057","2636",23
"173.06428_1.2017","3454",2
"173.09269_0.61","1417",24
"173.10395_0.8336","3004",23
"174.01213_0.6915","2325",23
"175.02439_0.6859","2204",2
"175.04687_0.8319","2323",4
"175.06076_2.5173","4413",1
"178.01754_3.9389","4531",23
"179.05566_0.6555","1968",1
"179.05573_0.7721","3010",1
"179.98074_0.4266","73",3
"180.91224_2.7398","4436",3
"181.01391_7.6041","5167",5
"181.07136_0.6542","1975",2
"182.01256_0.9432","2915",23
"183.01549_0.6808","2172",4
"184.94323_0.4166","38",3
"185.00867_1.6054","4308",19
"185.02158_1.1726","3299",6
"185.05637_0.904","2880",23
"186.90365_2.1311","4380",3
"186.92919_2.7432","4429",2
"187.99625_0.5954","1255",23
"188.05605_0.879","3026",24
"188.09243_0.9458","2948",23
"190.03537_0.9454","2920",23
"191.01935_1.1533","4205",2
"191.01938_0.6942","2225",2
"193.05353_0.8836","2835",2
"195.0295_6.9504","4951",5
"195.05056_0.6849","2199",1
"196.02231_0.879","2813",23
"197.03124_0.7044","2413",4
"198.07689_1.0109","2994",23
"198.88487_2.7423","4420",2
"202.01208_0.6013","1304",23
"202.02041_0.5903","1235",23
"203.00449_0.6912","2330",7
"203.01693_0.6905","2328",1
"203.0196_1.0675","3018",2
"204.02987_1.7984","4337",23
"204.12376_1.0817","3028",23
"205.04366_3.2728","4472",23
"205.04971_3.5996","4508",8
"205.05023_8.9322","5693",8
"206.90954_1.3162","3933",3
"207.02951_8.8723","5687",8
"207.05067_0.942","2373",1
"207.97558_0.4283","1198",3
"208.03284_6.5633","4749",23
"208.03289_8.8725","5686",23
"209.04505_6.5648","4753",8
"209.04507_7.7255","5360",3
"210.06963_0.729","2494",23
"210.96161_0.4221","56",3
"211.02446_6.9506","4949",5
"211.03319_0.6435","1717",23
"211.07127_0.853","2404",23
"211.90017_1.3356","3971",2
"212.92051_0.5162","982",22
"212.98023_1.1316","3178",1
"213.0489_0.5957","1245",23
"213.88739_2.7315","4438",23
"214.0718_1.6262","4310",23
"214.92854_1.1306","3138",2
"215.92791_1.1399","4160",4
"216.90914_2.7368","4423",23
"216.96643_0.8374","2715",3
"220.00717_0.6997","2401",1
"220.90824_2.1288","4381",2
"223.02933_7.7227","5417",8
"223.06086_7.0564","4971",8
"223.0609_3.6009","4495",8
"223.0609_9.0271","5707",8
"224.0561_1.067","4144",23
"225.04008_6.5632","4745",8
"225.06092_0.8787","3008",1
"225.06116_0.6479","1809",1
"225.11293_5.2871","4577",23
"225.9261_1.3425","3984",3
"226.04337_6.5629","4759",23
"226.99608_0.6898","2292",1
"227.96016_0.8804","1871",23
"228.03604_0.6338","1727",3
"228.06387_0.6447","1735",23
"228.95962_0.4208","51",3
"228.9684_0.7304","2537",9
"228.96921_0.4858","614",9
"228.993_0.6905","2310",1
"229.01428_0.5966","1270",23
"229.02271_0.597","1254",23
"229.03482_1.8865","4350",10
"230.01951_1.2051","3535",11
"230.06662_0.917","2897",23
"230.87438_1.4216","4168",3
"231.01418_1.1308","3141",2
"231.05947_0.6032","1298",23
"232.01691_1.1902","3360",7
"232.05877_0.9182","2892",1
"232.93899_0.8666","2403",4
"234.08019_0.9523","2902",23
"234.95457_0.8052","2553",4
"235.1336_10.137","5799",6
"238.06934_4.4751","4554",9
"238.95658_0.4323","52",2
"239.01938_6.9536","4948",12
"239.05558_7.7186","5258",19
"239.09205_5.5853","4601",19
"239.88701_2.7395","4426",3
"240.98373_0.7118","2447",23
"241.01151_3.0148","4456",4
"241.01152_1.1465","3270",1
"241.01174_0.7062","2417",3
"241.09146_0.5015","759",23
"241.88233_2.7177","4441",23
"242.05137_0.6564","2961",23
"242.07904_0.6496","1848",24
"242.89897_1.3333","3977",9
"242.93909_0.494","2486",2
"243.12338_8.1261","5459",19
"243.93998_0.4923","676",2
"244.94372_0.4965","715",3
"244.96167_1.0234","2990",23
"244.96294_0.6173","2423",23
"245.07498_0.6041","1318",23
"245.09265_7.1428","4998",24
"245.94647_0.9469","2427",23
"246.03795_1.0671","3016",7
"246.8947_1.3929","4080",22
"247.89825_1.3824","4038",11
"248.89952_2.7418","4421",3
"248.90501_0.5514","1211",23
"249.90621_1.2979","3891",11
"251.12845_7.754","5395",8
"252.08733_2.45","4405",22
"252.99612_0.4167","65",23
"252.99613_1.1309","3115",2
"253.99952_1.1304","3123",23
"255.11353_8.6478","5652",13
"255.89818_1.3382","3969",9
"256.90585_1.332","3949",2
"256.96297_0.8914","2849",23
"257.1292_7.4987","5102",14
"257.1292_7.9815","5431",14
"257.99288_0.8794","2816",4
"258.06141_0.977","2966",23
"259.0218_1.1405","3260",1
"259.02182_1.3783","4141",1
"259.0219_1.7261","4376",23
"260.02454_1.1854","3047",23
"260.07709_0.8818","2248",22
"260.90597_1.3617","4026",9
"261.97808_0.6633","2068",1
"262.05641_0.8168","2313",7
"262.09268_0.7856","2157",7
"263.16478_11.6209","5908",6
"264.98735_0.7047","2321",1
"266.95146_0.4217","57",3
"267.07178_0.7695","2216",1
"267.90993_0.4155","32",3
"268.04333_0.8886","2837",23
"269.92406_1.4807","4213",3
"270.03784_1.2052","3537",7
"270.89989_0.5399","1159",2
"270.97809_0.874","2767",1
"270.98564_0.6939","2605",23
"271.98623_1.2054","3567",23
"272.08625_0.622","1309",23
"272.95759_0.8787","2810",2
"273.02238_0.8916","3073",2
"273.03772_1.0998","3043",1
"273.94232_0.6878","2476",1
"274.87207_1.4268","4176",3
"274.97228_0.7757","2318",23
"275.151_1.1346","3236",9
"275.84457_1.1685","3301",2
"275.87167_1.3892","4069",3
"276.86712_1.4002","4178",3
"277.86728_1.4564","4180",9
"277.9361_1.1337","3757",23
"277.97252_0.6674","2095",23
"277.97254_0.8587","2972",1
"278.86417_1.4037","4175",3
"278.87091_1.4492","4172",14
"278.98103_0.648","2977",23
"279.0593_0.8775","2787",7
"280.9078_0.5156","958",3
"281.06617_6.24","4652",3
"281.12368_1.7912","4336",4
"283.08185_3.1472","4465",3
"284.03825_0.8747","2784",7
"284.04057_1.541","4294",2
"284.12471_0.7642","2944",24
"284.90065_1.3315","3953",2
"285.01817_6.3719","4719",23
"285.06113_2.873","4449",5
"285.06113_3.9181","4529",5
"285.87338_1.1744","3309",23
"285.91783_0.8403","2600",1
"286.06443_3.9173","4528",10
"286.06447_2.8733","4451",10
"286.10303_0.6875","2665",23
"286.10389_0.718","2495",23
"288.05989_0.603","1314",11
"288.07186_1.1758","3307",23
"288.07201_1.5706","4311",2
"289.01724_0.8678","2713",2
"289.03254_1.1493","3267",23
"289.08257_6.3846","4722",24
"289.93631_0.8684","2668",23
"289.93687_0.5775","2203",13
"290.0877_0.853","2628",7
"292.06701_0.8692","2353",7
"292.15504_8.8342","5676",2
"293.04887_0.695","2396",1
"293.12381_2.2789","4394",15
"293.15842_8.8333","5675",24
"294.9529_0.4876","87",3
"295.83058_1.3898","4070",9
"296.8817_0.516","978",2
"298.87969_0.516","985",14
"298.97289_0.8883","2838",23
"299.07673_2.0186","4365",5
"299.07679_1.0363","2997",5
"299.09691_0.6055","1334",24
"299.98467_6.5898","4807",16
"299.9847_8.442","5509",16
"300.08005_2.0187","4368",1
"301.11893_5.9036","4629",4
"302.10047_0.6389","1622",6
"302.12228_5.9057","4631",13
"303.12096_10.1626","5803",8
"303.95194_0.8649","3179",23
"304.91414_0.4673","602",23
"305.06962_7.4963","5101",6
"305.90075_1.4805","4214",2
"305.93115_1.1329","3741",23
"305.96776_0.89","2912",1
"306.08284_0.9249","3002",7
"307.06547_7.5052","5108",17
"307.08529_7.7988","5414",2
"308.14993_6.0061","4630",13
"308.14998_6.9042","4943",13
"308.99307_0.8834","2606",1
"309.09027_7.7971","5413",3
"309.11872_0.8215","3009",1
"309.86956_2.722","4439",23
"309.98893_0.8777","2785",24
"311.89712_1.1372","3240",3
"313.11296_0.6096","1426",24
"313.93679_1.1306","3139",23
"314.08775_1.5742","4295",3
"314.08784_2.467","4407",3
"314.09651_0.6118","1410",23
"314.96674_1.129","3166",2
"314.96793_0.8796","2779",23
"315.00433_4.4736","4558",2
"315.07009_0.6064","1350",24
"315.07184_1.7632","4332",3
"315.07185_2.1224","4389",3
"315.08056_0.6197","1507",24
"315.9295_1.4898","4226",23
"316.01318_4.475","4555",23
"317.05425_1.1266","3086",1
"317.1138_7.793","5418",8
"318.07594_0.6394","2735",24
"318.08349_1.0573","3006",7
"319.09309_8.4182","5490",3
"319.94668_0.8671","3230",23
"320.81646_1.2809","3841",3
"321.96241_0.7246","2484",1
"322.16542_8.4558","5615",24
"323.02802_1.1995","4153",10
"323.09609_4.4595","4553",9
"323.10898_0.647","1785",7
"323.13423_5.4428","4595",2
"323.17047_8.6555","5608",2
"323.89966_0.4165","34",2
"323.97805_0.6699","2102",2
"323.97805_0.7706","2985",1
"325.05584_7.7265","5367",8
"325.056_6.5652","4754",8
"325.05968_0.9843","2965",2
"325.10706_1.833","4343",24
"325.14993_4.0099","4533",13
"326.82946_25.9845","10138",11
"327.05644_0.692","2582",1
"327.10812_1.9405","4356",19
"328.11142_1.935","4355",4
"328.89824_0.4974","698",23
"329.08642_0.619","2760",24
"329.08725_1.2253","3716",5
"329.08737_3.1425","4467",3
"329.12376_6.2999","4658",9
"330.04619_1.5027","4243",3
"330.04623_2.8884","4452",23
"330.07038_0.6108","1408",23
"330.12708_5.6311","4603",3
"330.93908_1.1319","3190",13
"331.05437_0.6194","1485",23
"331.10273_0.9675","2938",2
"331.94721_0.8649","2369",23
"332.09796_1.4101","4117",7
"332.90252_1.1944","3479",1
"332.91994_1.466","4192",3
"332.9214_0.5142","911",3
"333.1452_7.5046","5104",9
"333.14521_7.9623","5432",9
"333.96265_0.8261","2534",7
"334.14873_7.4967","5112",15
"335.94184_0.7088","2435",1
"336.14492_8.1027","5457",9
"337.07724_0.8437","2603",1
"337.10374_1.6954","4319",13
"338.08783_1.071","3021",15
"339.09114_1.0337","3023",24
"339.108_9.471","5753",17
"340.94557_0.6063","2828",3
"341.10832_0.6517","1899",1
"341.10838_0.7826","2984",10
"341.12364_6.7088","4886",8
"341.14465_1.0125","2993",7
"342.11167_0.6512","1883",16
"342.93112_1.2058","3550",23
"343.11299_0.6514","1893",16
"343.12396_0.6613","2048",1
"343.83572_1.4474","4159",23
"343.95981_1.1252","3081",13
"344.90154_1.3299","3945",2
"345.10871_7.4607","5095",4
"345.11858_1.5759","4303",3
"345.11864_2.2056","4390",3
"346.05529_0.8652","2375",10
"347.02509_0.6909","2368",1
"347.09798_0.9298","2904",1
"347.1707_7.6667","5179",6
"347.94161_1.1309","3151",14
"350.16392_12.6055","5952",2
"351.14449_10.047","5794",18
"352.10335_6.2588","4654",8
"352.1479_10.0472","5793",13
"352.16902_8.8158","5668",3
"352.17615_8.5378","5633",2
"352.93679_0.4268","95",1
"352.95999_1.2185","3640",5
"353.03629_0.6181","1457",24
"353.04855_2.8742","4450",5
"353.0874_8.9324","5706",8
"353.1026_9.0619","5716",9
"353.10678_6.259","4656",3
"353.14192_18.4858","7131",3
"353.15011_10.0459","5788",3
"353.16024_10.9269","5850",18
"353.18124_5.4732","4593",17
"354.06083_1.054","3003",23
"355.06641_7.7183","5239",8
"355.08776_0.7381","2533",1
"356.09138_0.7943","2567",7
"356.9228_0.4842","895",5
"357.1032_0.6806","2595",1
"357.11861_2.5031","4411",2
"357.11868_6.7783","4914",3
"357.93874_1.126","3042",1
"358.16887_7.9342","5427",19
"359.0979_1.6278","4312",5
"359.13437_6.7947","4915",3
"360.10131_1.6258","4313",14
"360.14245_8.8343","5674",24
"361.09013_9.4715","5756",24
"361.15005_7.1072","4988",17
"362.15347_7.107","4991",12
"362.94045_0.4875","1163",5
"362.98887_1.2333","3674",23
"363.19218_8.2793","5475",9
"364.12466_1.0061","2352",16
"364.17623_8.8678","5684",24
"365.06364_1.2306","3659",5
"365.12361_10.2832","5809",13
"365.17945_8.8653","5683",24
"366.10813_0.6634","2073",1
"366.19177_9.5864","5766",2
"367.06403_2.0208","4367",5
"367.1046_0.6637","2071",1
"367.13924_7.5377","5175",19
"367.13931_9.0186","5704",13
"368.00416_0.6989","2573",1
"368.14258_7.6946","5397",8
"368.99437_1.1305","3127",1
"369.01033_0.6174","1440",24
"369.08224_7.0649","4978",8
"369.13967_1.8775","4349",3
"369.155_8.3065","5477",13
"369.17609_6.1445","4649",17
"371.09777_1.7321","4330",3
"371.13376_7.7539","5403",8
"371.17062_7.5896","5166",9
"372.04227_2.5185","4415",23
"373.18633_8.1036","5458",9
"374.05799_3.5195","4492",11
"375.15562_7.091","4987",15
"375.93655_1.1308","3142",23
"376.85309_1.1277","3146",23
"377.08076_7.1454","5001",13
"377.08503_0.6501","1863",1
"377.11002_0.7847","2943",23
"377.14199_17.3325","6645",3
"377.18114_6.4133","4726",17
"378.11902_7.9024","5425",3
"378.22816_11.0198","5859",20
"378.91431_0.4903","658",23
"379.15754_18.2429","7002",3
"379.16042_8.372","5486",9
"379.19684_7.2962","5011",2
"380.00466_0.6908","2480",10
"380.84312_0.516","979",10
"380.91142_0.4904","668",3
"381.15507_7.7852","5411",12
"381.90255_1.1318","3187",23
"384.12956_7.4743","5099",22
"384.97205_1.1306","3128",23
"385.11353_3.6079","4513",8
"385.1136_3.1143","4460",8
"385.11375_6.5497","4735",22
"385.15_7.9939","5438",17
"385.18637_6.0548","4638",9
"386.11693_3.6055","4511",16
"386.15342_7.9932","5437",10
"387.1139_0.6508","1877",1
"387.11395_0.7876","2974",23
"387.11884_3.6036","4512",14
"387.16553_3.7597","4523",15
"387.16563_5.169","4572",9
"387.16569_6.8093","4917",9
"388.07369_6.472","4732",16
"388.11724_0.651","1881",5
"388.13268_1.7697","4331",4
"388.16892_3.7564","4520",4
"388.16903_2.9418","4453",4
"388.16906_8.22","5471",1
"389.07719_6.4721","4733",16
"389.10852_4.33","4548",2
"389.11864_0.6513","1888",7
"389.12352_7.7388","5396",5
"389.12365_7.4281","5096",13
"390.06886_6.4708","4734",23
"390.13196_8.8338","5678",24
"391.02772_6.5606","4740",12
"392.08028_8.8334","5677",4
"393.11868_8.0144","5442",19
"394.12187_8.0243","5444",15
"395.09775_7.173","5006",19
"395.19167_7.2974","5035",9
"396.10112_7.1699","5005",10
"397.08791_8.4611","5616",2
"399.16876_4.4442","4551",3
"399.20192_8.5939","5647",6
"400.94425_1.1308","3130",2
"401.10832_6.3739","4730",22
"401.13486_8.9376","5696",9
"402.0892_8.0765","5453",16
"403.04561_9.7833","5775",23
"403.09267_8.0777","5454",1
"403.81104_1.3764","4047",3
"403.8233_1.4204","4122",11
"404.08404_8.0768","5451",16
"405.17613_8.8263","5671",9
"406.03004_3.1646","4469",23
"410.86262_0.4989","713",10
"411.20196_10.6526","5836",15
"412.03023_0.6584","2981",10
"412.86042_0.4989","702",3
"413.10194_3.2789","4473",9
"413.18117_6.2179","4651",9
"413.18117_8.1538","5460",9
"413.21766_11.6544","5911",15
"413.96503_1.1288","3108",2
"415.321_22.0573","8941",18
"416.10496_9.2072","5740",16
"416.20025_7.6056","5121",24
"416.32438_22.0577","8942",15
"417.10839_9.2079","5729",1
"417.13974_2.1799","4388",2
"417.17613_8.0748","5449",6
"417.94712_1.1309","3134",23
"418.08426_5.4377","4594",11
"418.09956_9.2072","5727",16
"418.89297_0.4634","457",23
"419.09138_8.0394","5445",23
"419.13191_10.0478","5792",10
"419.13431_7.172","5004",23
"419.13433_8.3665","5483",5
"420.04578_5.4104","4590",16
"420.81353_1.4092","4108",19
"421.04901_5.4082","4589",16
"422.02488_1.2669","3782",16
"422.04062_5.4093","4591",16
"422.05115_1.7157","4324",3
"422.058_7.319","5066",16
"422.96561_6.5642","4746",23
"423.02799_1.2669","3783",16
"423.04418_5.41","4588",1
"423.0614_7.318","5065",16
"424.01287_7.7973","5416",3
"424.01978_1.2669","3781",3
"424.05216_7.3464","5064",23
