feature_id,superclass,class,subclass,base_label,parent_label,n_base,label1,n_after_merge,label2,n_after_split,label3,n_before_chunk,chunk_id,chunked,merged_up,split_to_subclass,bounced_up,final_label,module_id,L_small,U_big
2991,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organooxygen compounds,Organic oxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,1,FALSE,FALSE,FALSE,FALSE,Organooxygen compounds,15,20,100
1308,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
2314,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Hydroxy acids and derivatives,Organic acids and derivatives,11,Organic acids and derivatives,45,Organic acids and derivatives,45,Organic acids and derivatives,45,1,FALSE,TRUE,FALSE,FALSE,Organic acids and derivatives,9,20,100
2946,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organooxygen compounds,Organic oxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,1,FALSE,FALSE,FALSE,FALSE,Organooxygen compounds,15,20,100
1995,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Organooxygen compounds,Organic oxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,1,FALSE,FALSE,FALSE,FALSE,Organooxygen compounds,15,20,100
1362,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
351,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,Carboxylic acids and derivatives :: Carboxylic acids,4,Carboxylic acids and derivatives,14,1,FALSE,FALSE,TRUE,TRUE,Carboxylic acids and derivatives,2,20,100
3164,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,Carboxylic acids and derivatives :: Dicarboxylic acids and derivatives,5,Carboxylic acids and derivatives,14,1,FALSE,FALSE,TRUE,TRUE,Carboxylic acids and derivatives,2,20,100
2704,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,Carboxylic acids and derivatives :: Dicarboxylic acids and derivatives,5,Carboxylic acids and derivatives,14,1,FALSE,FALSE,TRUE,TRUE,Carboxylic acids and derivatives,2,20,100
1359,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
1935,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Hydroxy acids and derivatives,Organic acids and derivatives,11,Organic acids and derivatives,45,Organic acids and derivatives,45,Organic acids and derivatives,45,1,FALSE,TRUE,FALSE,FALSE,Organic acids and derivatives,9,20,100
1340,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
1471,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
2796,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
2218,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,Carboxylic acids and derivatives :: Dicarboxylic acids and derivatives,5,Carboxylic acids and derivatives,14,1,FALSE,FALSE,TRUE,TRUE,Carboxylic acids and derivatives,2,20,100
3283,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,Carboxylic acids and derivatives :: Dicarboxylic acids and derivatives,5,Carboxylic acids and derivatives,14,1,FALSE,FALSE,TRUE,TRUE,Carboxylic acids and derivatives,2,20,100
2429,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,Lipids and lipid-like molecules,22,Fatty Acyls,22,Fatty Acyls,22,Fatty Acyls,22,1,FALSE,FALSE,FALSE,FALSE,Fatty Acyls,4,20,100
1360,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,Carboxylic acids and derivatives :: Carboxylic acid derivatives,3,Carboxylic acids and derivatives,14,1,FALSE,FALSE,TRUE,TRUE,Carboxylic acids and derivatives,2,20,100
1331,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
1709,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
2367,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
4188,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Hydroxy acids and derivatives,Organic acids and derivatives,11,Organic acids and derivatives,45,Organic acids and derivatives,45,Organic acids and derivatives,45,1,FALSE,TRUE,FALSE,FALSE,Organic acids and derivatives,9,20,100
2280,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Hydroxy acids and derivatives,Organic acids and derivatives,11,Organic acids and derivatives,45,Organic acids and derivatives,45,Organic acids and derivatives,45,1,FALSE,TRUE,FALSE,FALSE,Organic acids and derivatives,9,20,100
2700,Organoheterocyclic compounds,Azoles,NA,Azoles,Organoheterocyclic compounds,8,Organoheterocyclic compounds,24,Organoheterocyclic compounds,24,Organoheterocyclic compounds,24,1,FALSE,TRUE,FALSE,FALSE,Organoheterocyclic compounds,13,20,100
2232,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Hydroxy acids and derivatives,Organic acids and derivatives,11,Organic acids and derivatives,45,Organic acids and derivatives,45,Organic acids and derivatives,45,1,FALSE,TRUE,FALSE,FALSE,Organic acids and derivatives,9,20,100
2363,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Organooxygen compounds,Organic oxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,1,FALSE,FALSE,FALSE,FALSE,Organooxygen compounds,15,20,100
2975,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,Hydroxy acids and derivatives,Organic acids and derivatives,11,Organic acids and derivatives,45,Organic acids and derivatives,45,Organic acids and derivatives,45,1,FALSE,TRUE,FALSE,FALSE,Organic acids and derivatives,9,20,100
1662,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
2215,Organic acids and derivatives,Hydroxy acids and derivatives,NA,Hydroxy acids and derivatives,Organic acids and derivatives,11,Organic acids and derivatives,45,Organic acids and derivatives,45,Organic acids and derivatives,45,1,FALSE,TRUE,FALSE,FALSE,Organic acids and derivatives,9,20,100
1345,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
2986,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
1493,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
1337,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,108,Carboxylic acids and derivatives,108,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",94,1,FALSE,FALSE,TRUE,FALSE,"Carboxylic acids and derivatives :: Amino acids, peptides, and analogues",3,20,100
2922,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organooxygen compounds,Organic oxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,Organooxygen compounds,77,1,FALSE,FALSE,FALSE,FALSE,Organooxygen compounds,15,20,100
1498,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty Acyls,Lipids and lipid-like molecules,22,Fatty Acyls,22,Fatty Acyls,22,Fatty Acyls,22,1,FALSE,FALSE,FALSE,FALSE,Fatty Acyls,4,20,100
5262,Benzenoids,NA,NA,Benzenoids,NA,3,Benzenoids,28,Benzenoids,28,Benzenoids,28,1,FALSE,FALSE,FALSE,FALSE,Benzenoids,1,20,100
