sample,group,plant,sl,px,mp,le,JA,SA,ABA
con_1.mzML,ctrl,431.1,,,,,0,37.95590316,0
con_2.mzML,ctrl,594.2,,,,,107.506091,32.78125419,0
con_3.mzML,ctrl,839,,,,,103.1704441,48.26379164,0.81575556
con_4.mzML,ctrl,410,,,,,419.6263898,34.14612194,1.004967416
con_5.mzML,ctrl,712.3,,,,,118.2976708,30.56338146,0.880871305
con_6.mzML,ctrl,313.5,,,,,172.5575175,20.06888573,0.696879389
con_7.mzML,ctrl,617.4,,,,,189.7770441,44.61194242,1.858610357
con_8.mzML,ctrl,541,,,,,89.6239614,29.92614662,0.705351849
sl1_1.mzML,sl1,475.3,5.29,,,,548.4420147,40.47801711,5.538514076
sl1_2.mzML,sl1,166.5,5.09,,,,2676.902485,61.32994096,74.60520474
sl1_3.mzML,sl1,238.1,1.27,,,,1044.833859,51.18721029,4.178328179
sl1_4.mzML,sl1,425.5,2.18,,,,287.9102207,41.36205271,3.156682569
sl1_5.mzML,sl1,366.2,4.62,,,,808.6067159,43.77946063,3.341284504
sl1_6.mzML,sl1,395.8,3.07,,,,3079.155594,55.94669544,5.49697426
sl1_7.mzML,sl1,356.6,2.74,,,,1656.535851,42.66825326,9.214407751
sl1_8.mzML,sl1,344.2,1.65,,,,435.1332768,44.58489055,1.369704318
sl2_2.mzML,sl2,489,2.665,,,,901.9395985,43.86407404,6.03061699
sl2_3.mzML,sl2,534.7,2.655,,,,1837.835969,49.70804052,3.496573804
sl2_4.mzML,sl2,374.1,2.63,,,,2630.449399,61.87523484,4.78252594
sl2_5.mzML,sl2,224,3,,,,5120.353107,53.06762245,11.94451315
sl2_6.mzML,sl2,285.9,4.885,,,,4654.260609,57.0911851,9.404315535
sl2_7.mzML,sl2,483.3,3.495,,,,6069.782484,44.59244793,8.145517872
sl2_8.mzML,sl2,388.3,3.99,,,,3255.668078,39.28067355,6.281385625
sl2_9.mzML,sl2,415,3.045,,,,3608.841833,39.30225219,10.29939908
sl3_1.mzML,sl3,230.2,1.533333333,,,,5241.099125,61.3213646,12.08475525
sl3_2.mzML,sl3,356.5,1.173333333,,,,3965.404403,59.80484439,9.678237616
sl3_3.mzML,sl3,95.4,2.81,,,,9914.853194,86.22491632,9.845136857
sl3_4.mzML,sl3,496.3,0.3,,,,1031.095826,44.11018429,6.731688483
sl3_5.mzML,sl3,167.9,1.013333333,,,,4369.788317,48.66854975,12.65817253
sl3_6.mzML,sl3,131.6,1.66,,,,15541.61745,57.47221836,20.74247238
sl3_7.mzML,sl3,418.1,1.906666667,,,,2214.68117,45.71696006,4.696787539
sl3_9.mzML,sl3,197.3,2.613333333,,,,7035.173623,47.33498436,8.58851577
px1_1.mzML,px1,404.1,,1.26,,,1941.098957,147.2235205,5.992324011
px1_2.mzML,px1,488,,0.67,,,554.8606242,111.0795603,1.392605686
px1_3.mzML,px1,692.6,,0.66,,,827.4149822,140.488359,10.48640982
px1_4.mzML,px1,264.7,,0.78,,,2006.613625,78.74080649,9.555276568
px1_5.mzML,px1,755.8,,1.15,,,513.6094981,85.57642131,6.931272848
px1_6.mzML,px1,620.4,,1.02,,,432.9895722,83.62992919,3.039791509
px1_7.mzML,px1,743.3,,1.08,,,732.0791592,118.5882254,1.488170291
px1_8.mzML,px1,629.8,,0.97,,,687.8438563,71.87321759,1.552130027
px2_1.mzML,px2,496.2,,1.205,,,913.6395111,90.51575726,3.854096507
px2_2.mzML,px2,486.4,,0.31,,,2385.255781,104.1716322,0
px2_3.mzML,px2,839.3,,1.225,,,1081.761764,72.28894896,3.744426595
px2_7.mzML,px2,271.9,,1.06,,,2343.550831,113.3102257,11.21209282
px2_8.mzML,px2,571.9,,0.67,,,1063.268244,123.6268846,4.265854315
px2_9.mzML,px2,427.2,,1.235,,,921.7656944,105.0030647,8.439893905
px2_10.mzML,px2,296.1,,1.185,,,2977.476869,108.7569135,7.445127898
px2_12.mzML,px2,322.3,,0.985,,,2297.975695,115.0891441,5.25040693
px3_1.mzML,px3,599.5,,0.74,,,4011.678332,100.894979,1.255303534
px3_2.mzML,px3,586.8,,0.763333333,,,2044.384172,116.4200018,5.15653828
px3_3.mzML,px3,177.9,,0.976666667,,,7504.897662,140.1748497,13.22591607
px3_4.mzML,px3,647,,0.823333333,,,1872.432276,127.1892991,2.48944533
px3_5.mzML,px3,578.5,,0.89,,,1486.809128,110.3077067,4.676229243
px3_6.mzML,px3,299.5,,1.28,,,4828.512202,101.0229413,19.61134906
px3_7.mzML,px3,318.3,,0.9,,,1865.649955,96.84766533,4.104255149
px3_8.mzML,px3,312.2,,0.853333333,,,3921.483101,163.7291871,13.67078129
px4_1.mzML,px4,504.2,,0.7625,,,7159.006189,131.5726892,20.44193693
px4_2.mzML,px4,265.9,,0.7975,,,13878.36685,169.2267164,18.08632292
px4_3.mzML,px4,487.5,,0.9175,,,6773.239375,116.9574417,3.691466219
px4_4.mzML,px4,245.4,,0.2975,,,9557.485908,115.672196,23.06827658
px4_5.mzML,px4,537.5,,1.09,,,5563.460229,87.87860667,11.52596511
mp1_2.mzML,mp1,404.2,,,13,,579.2925321,138.0275059,16.26076226
mp1_3.mzML,mp1,596.2,,,20.5,,1197.479602,176.957143,6.044159918
mp1_4.mzML,mp1,655.6,,,26.5,,2709.627977,118.2615721,11.9204508
mp1_5.mzML,mp1,375.7,,,18,,1222.793195,196.8638845,12.55208054
mp1_7.mzML,mp1,310,,,12,,1938.467038,257.4736803,23.96770796
mp1_8.mzML,mp1,468.4,,,20,,1229.943535,98.74518765,1.438929174
mp1_10.mzML,mp1,416.4,,,20.5,,1777.761581,179.9239409,7.525469196
mp1_11.mzML,mp1,431.3,,,13,,3315.591331,134.1011089,4.655042008
mp2_1.mzML,mp2,321.2,,,16.75,,621.1047526,214.9902938,3.643385373
mp2_3.mzML,mp2,837.2,,,21.5,,688.7845004,174.2939422,4.091330755
mp2_4.mzML,mp2,423.2,,,22.25,,2022.173097,107.180822,4.407348082
mp2_5.mzML,mp2,327.1,,,11.5,,1856.65021,124.1835001,14.02540696
mp2_8.mzML,mp2,415.3,,,12.25,,2891.527478,97.67376347,9.145722768
mp2_9.mzML,mp2,363.6,,,20.5,,2335.35475,89.10348292,8.31757952
mp2_10.mzML,mp2,404.2,,,15.25,,893.605167,127.6186541,2.262162079
mp2_11.mzML,mp2,316.9,,,20,,3530.741087,118.9861772,1.545565978
mp3_3.mzML,mp3,298.3,,,17.5,,1854.536035,254.1487353,17.20791875
mp3_6.mzML,mp3,340.1,,,18.33333333,,2711.307939,204.8916521,11.21144118
mp3_9.mzML,mp3,209.2,,,17.66666667,,2449.027228,216.2614078,7.70238948
mp3_11.mzML,mp3,310.5,,,14.83333333,,3473.524726,463.6061945,35.09257544
mp3_12.mzML,mp3,272.9,,,18.66666667,,1326.27689,316.7071462,23.27881897
mp3_13.mzML,mp3,219.6,,,12.5,,2164.788458,282.5452364,25.14766283
mp3_16.mzML,mp3,300.6,,,14.33333333,,1953.482618,380.2908899,27.42510738
mp3_17.mzML,mp3,472.4,,,16.66666667,,1566.507518,119.2517997,8.106970326
le1_1.mzML,le1,288.4,,,,26,934.709309,78.83078122,0
le1_2.mzML,le1,568.3,,,,10.5,1119.167821,44.63722011,1.476831823
le1_3.mzML,le1,527.9,,,,22,937.304367,127.8237967,4.43368502
le1_4.mzML,le1,540.4,,,,30.5,2065.878782,61.80150706,0
le1_5.mzML,le1,305.1,,,,27.5,546.0422802,105.1691526,1.610871737
le1_6.mzML,le1,457,,,,12.5,887.0291445,125.1305352,0
le1_7.mzML,le1,452.5,,,,22,623.1260056,69.76296024,4.101531304
le1_8.mzML,le1,175.5,,,,9.5,1243.704076,87.26312978,15.96036024
le2_1.mzML,le2,393.9,,,,13.75,1156.442886,140.564952,0
le2_2.mzML,le2,534,,,,29.75,1573.621547,134.0116963,2.971609274
le2_3.mzML,le2,187.8,,,,9.5,856.5881873,202.9401859,7.339448323
le2_4.mzML,le2,240.5,,,,13.75,1230.051945,210.0583564,0.881401501
le2_5.mzML,le2,359.1,,,,22.75,1180.999145,180.5842284,7.015534128
le2_6.mzML,le2,289.6,,,,9.5,1021.340119,151.8430556,3.306609526
le2_7.mzML,le2,286.9,,,,20.5,856.102311,189.2948249,7.851619333
le2_8.mzML,le2,202.1,,,,16.5,1227.742645,170.498482,22.44054588
le3_1.mzML,le3,169.2,,,,8,850.820936,386.2204251,3.140664191
le3_2.mzML,le3,237.6,,,,7.5,1099.567652,257.754219,6.745383011
le3_3.mzML,le3,268.5,,,,7,1298.690498,212.6441584,4.514196777
le3_4.mzML,le3,220.3,,,,13,874.0350645,413.168641,5.62238588
le3_5.mzML,le3,347.2,,,,13.16666667,1189.445847,199.3817133,7.417922088
le3_6.mzML,le3,201.6,,,,13.66666667,709.616335,261.0161256,10.23444426
